Name,Internal Reference,Sales Price,Cost,Product Type,Product Category,Can be Sold,Can be Purchased,Available in POS,Internal Categories,Sales Description
Urdu Novel Maala by Nimra Ahmed A5 Size,MZ-0011,1328,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Books & Stationery,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Urdu Poetry Novel by Jon Elia Black Cover,MZ-0012,612,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Books & Stationery,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Rachel Bridge Business Guide No Capital Required Pakistan,MZ-0013,513,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Books & Stationery,Cash on Delivery · 3-5 din delivery · 7-day easy returns
"Cold War In The Islamic World: Saudi Arabia, Iran and the Struggle for Supremacy",MZ-0014,612,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Books & Stationery,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Urdu Novel Bahishti Zewar by Ashraf Ali Thanvi,MZ-0015,774,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Books & Stationery,Cash on Delivery · 3-5 din delivery · 7-day easy returns
2 Pcs Women's Unstitched Digital Print Suit,MZ-0016,1980,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
2 Pcs Girl's Lawn Embroidered Unstitched Suit,MZ-0017,1720,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
2 Pcs Girl's Lawn Embroidered Unstitched Suit (Mint),MZ-0018,1720,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Purple Floral Printed Kurta Set for Women,MZ-0019,3380,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
2 Pcs Girl's Lawn Embroidered Unstitched Suit (Rose),MZ-0020,1720,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Blue Printed Lawn Shirt & Trouser Set with Chiffon Dupatta,MZ-0021,2980,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
2 Pcs Women's Unstitched Embroidered Suit,MZ-0022,2580,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Pakistani Embroidered Kurta Set Navy Blue,MZ-0023,3530,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Women's Dual Tone Knot Flat Sandals - 079 - Green & White,MZ-0024,1829,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Shoes,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Crystal Cross Strap Flat Slides - 068 - Pink,MZ-0025,1829,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Shoes,Cash on Delivery · 3-5 din delivery · 7-day easy returns
2 Pcs Women's Unstitched Printed Suit,MZ-0026,1000,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Elegant Slingback Pointed Toe Flats - 075 - Black,MZ-0027,2029,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Shoes,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Elegant Floral Embroidered Backless Loafers - 071 - Mustard,MZ-0028,2329,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Shoes,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Men Khaddar Blue Suit Summer Unstitched,MZ-0029,1990,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Men Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Stylish Square Toe Casual Pumps - 073 - Maroon,MZ-0030,2329,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Shoes,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Eid Shaadi Suit Brown Lawn Embroidered 3-Piece Set,MZ-0031,3829,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Pink Embroidered Lawn 3Pcs Set with Khaadi Dupatta,MZ-0032,4229,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Pink Chikankari Lawn 3Pcs Suit with Digital Print Dupatta,MZ-0033,4030,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Pink Embroidered Lawn 3Pcs Set with Printed Dupatta,MZ-0034,4255,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
3 Pcs Women's Unstitched Embroidered Suit,MZ-0035,3430,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Painless Hair Removal Flawless Facial Hair Remover,MZ-0036,929,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Cordless Rechargeable Women's Hair Clipper Pink,MZ-0037,2280,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Rechargeable Eyebrow Trimmer for Women with USB Charging,MZ-0038,1230,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
4-in-1 Makeup Kit for Pakistani Brides Daily Wear,MZ-0039,1960,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Premium Zafarani Whitening Cream for All Skin Types,MZ-0040,929,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Whitening Zafarani Cream Set of 2 for All Skin Types,MZ-0041,1080,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Whitening Cream for All Skin Types,MZ-0042,479,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
3-in-1 Makeup & Skincare Bundle for All Skin Types,MZ-0043,1169,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
5-in-1 Premium Skincare Set for Pakistani Skin,MZ-0044,2019,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Ultimate 5 in 1 Skincare Bundle for Pakistani Skin,MZ-0045,2009,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
2 Pcs Women's Unstitched Embroidered Suit (New),MZ-0046,2329,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
MIX Trending Designs 3 Pcs Unstitched Embroidered Suit,MZ-0047,3500,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
MIX Trending Designs 3 Pcs Unstitched Embroidered Suit (V2),MZ-0048,3500,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
3 Pcs Women's Unstitched Embroidered Suit (Lilac),MZ-0049,3480,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
MIX Trending Designs 3 Pcs Unstitched Embroidered Suit (V3),MZ-0050,3500,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
MIX Trending Designs 3 Pcs Unstitched Embroidered Suit (V4),MZ-0051,3500,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
3 Pcs Women's Unstitched Embroidered Suit (Sky),MZ-0052,3580,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
MIX Trending Designs 3 Pcs Unstitched Embroidered Suit (V5),MZ-0053,3500,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
A9 Mini WiFi Camera with Night Vision – Magnetic Wireless Micro Camera with Phone App,MZ-0054,1529,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Electronics,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Silk Plain Comfortable Lightweight Bikini Set / Swim Wear,MZ-0055,430,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Men Black Basketball Graphic T-Shirt Summer Sale,MZ-0056,900,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Men Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Richard Black Belt Skeleton Watch,MZ-0057,2310,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Accessories,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Modern Tree Wall Art Set Black Laser Cut 3Pcs,MZ-0058,396,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Home & Living,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Green Mask Stick for All Skin Types,MZ-0059,560,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Premium Wireless Earbuds ANC White 5.3 Bluetooth 50g,MZ-0060,1029,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Electronics,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Turkish-Inspired Men's Ring Set of 3 Silver Plated,MZ-0061,430,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Accessories,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Rose Wine - 3 Piece Embroidered Lawn Cotton Suit,MZ-0062,6479,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Lehran - U4B Women's Stitched Embroidered Lawn Suit - 3 Pcs Black,MZ-0063,11979,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Meherzay 3 Pcs Stitched Women's Embroidered Lawn Suit,MZ-0064,6029,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Simt - U3A Stylish Lilac Embroidered Women's Stitched Suit 3 Pcs,MZ-0065,10979,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Teal Majestique - Lawn Cotton Embroidered Dress,MZ-0066,6979,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Rukh - U2B Lawn Embroidered Women's Stitched Suit 4 Pcs,MZ-0067,13979,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Ziya - U5B Stunning Embroidered Lawn Suit 3 Pcs Beige,MZ-0068,10979,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Navy Monarch - 3 Piece Lawn Cotton Embroidered Dress,MZ-0069,7979,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Mobile Cover Peshawari Brand Unstitched Black,MZ-0070,1400,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Accessories,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Premium Hydrating Face Wash for All Skin Types,MZ-0071,889,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
2-in-1 Lipstick & Lipliner Set for Pakistani Women,MZ-0072,1870,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Premium Quality 5-in-1 Makeup Set for Pakistani Women,MZ-0073,1440,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Sunisa BB CC Foundation Mascara Tint Set,MZ-0074,960,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
2 in 1 Hair Oil Set for Pakistani Hair Care 320ml,MZ-0075,620,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Hyaluronic Acid Serum 30ml Vegan Hydrating,MZ-0076,550,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Waterproof Eyebrow Pencil Very Black,MZ-0077,470,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
"UNO Card Game for Kids & Adults, Premium Quality, 110 Cards",MZ-0078,429,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Kids & Toys,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Cute Pink Pocket Printer for Students & Creators,MZ-0079,3000,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Electronics,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Mini Air Cooler Remote Control Black ABS,MZ-0080,2679,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Electronics,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Wooden ABC Puzzle for Kids Learning & Play,MZ-0081,486,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Kids & Toys,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Die-Cast Metal Racing Car Set 12pcs Multicolor Kids Toy,MZ-0082,1205,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Kids & Toys,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Intex 3 Feet Kids Swimming Pool Pink Green Vinyl,MZ-0083,2100,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Kids & Toys,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Bright Blue Musical Climb Toy for Kids 3+,MZ-0084,1180,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Kids & Toys,Cash on Delivery · 3-5 din delivery · 7-day easy returns
"Arabic Learning Tablet for Kids, Durable & Stylish",MZ-0085,1580,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Kids & Toys,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Unstitched Printed Suit Green Yellow 2.5 Gazz Cotton Lawn,MZ-0086,1580,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Black Floral Printed Cotton Scarf 1.5ft,MZ-0087,1029,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Red Organza Suit with Gold Embroidery for Women,MZ-0088,1830,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Green Printed Polo Cotton Shirt & Trouser Set,MZ-0089,1050,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Men Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
3 Pcs Women's Unstitched Embroidered Suit (Peach),MZ-0090,4680,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Maroon Gold Embroidered 3-Piece Unstitched Suit for Bakra Eid,MZ-0091,2850,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Blue Floral Cotton Tablecloth Set,MZ-0092,1050,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Home & Living,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Unstitched Eid Ramadan Suit Beige Embroidered Lawn 3Pc,MZ-0093,3630,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Men's Imported Quality Watch,MZ-0094,999,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Accessories,Cash on Delivery · 3-5 din delivery · 7-day easy returns
7 Pcs Cotton Salonica Printed Comforter Set,MZ-0095,3880,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Home & Living,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Whitening Hand And Foot Cream 100ml,MZ-0096,1200,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Smart Kids Electric Toothbrush - Sonic Waterproof (Ages 2-12),MZ-0097,800,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Kids & Toys,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Women's Faux Leather Textured Tote Bags,MZ-0098,2699,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Bags,Cash on Delivery · 3-5 din delivery · 7-day easy returns
3 Pcs Cotton Patchwork Double Bedsheet,MZ-0099,980,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Home & Living,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Girl's Faux Leather Textured Envelope Clutch,MZ-0100,1850,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Bags,Cash on Delivery · 3-5 din delivery · 7-day easy returns
HD Projection Flashlight for Kids 90° Rotating Animal Patterns,MZ-0101,467,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Kids & Toys,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Women's Rexine Textured Hand Bag,MZ-0102,2800,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Bags,Cash on Delivery · 3-5 din delivery · 7-day easy returns
DALING DL-1698 Professional Hair Clipper – USB Rechargeable with LED Display,MZ-0103,2999,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Electronics,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Women's Rexine Plain Hand Bag,MZ-0104,2500,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Bags,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Girl's Crossbody Bag (Blush),MZ-0105,2200,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Bags,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Girl's Crossbody Bag (Tan),MZ-0106,2450,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Bags,Cash on Delivery · 3-5 din delivery · 7-day easy returns
"1 Inch Tape Cutter Machine Dispenser for Office, School & Home",MZ-0107,649,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Home & Living,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Premium Quality Subject Notebook | Fine Paper | School & University,MZ-0108,1099,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Books & Stationery,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Stainless Steel Multifunctional 2L Hand Push Chopper,MZ-0109,1299,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Home & Living,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Quilted Microwave Cover Waterproof Cotton 33x11 Inch,MZ-0110,400,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Home & Living,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Urdu Novel Hurf Say Lafz Tak by Umaira Ahmad A5,MZ-0111,451,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Books & Stationery,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Baby Shorts Yellow Panda Print Elastic Waist,MZ-0112,529,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Kids & Toys,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Unisex Printed Polyester T-Shirt White Independence Day,MZ-0113,440,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Men Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Vibrant Wall Stickers for Home Decor Pakistan,MZ-0114,310,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Home & Living,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Smooth Fake Nails ABS Plastic Multicolor Set,MZ-0115,490,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Metal Mesh Window Screen Silver Repair Tape,MZ-0116,319,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Home & Living,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Green Embroidered 3-Piece Dhanak Suit for Women,MZ-0117,3280,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Green Handwork Chiffon Suit for Women,MZ-0118,2155,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Unstitched Green Embroidered Lawn Suit for Eid Ramadan,MZ-0119,3630,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Green Lawn 3-Piece Suit with Silver Embroidery for Women,MZ-0120,3880,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Green Embroidered 3Pcs Lawn Suit for Women,MZ-0121,3429,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Green Embroidered Lawn 3Pcs Women Suit Set,MZ-0122,3029,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
3 Pcs Women's Unstitched Embroidered Suit (White),MZ-0123,3080,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
15-in-1 Makeup Set for Pakistani Women,MZ-0124,1750,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Whitening Brightening Facial Kit with Rice Extract,MZ-0125,750,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Unisex Perfume Set 3 Pieces J. By GB Premium Gift Pack,MZ-0126,1179,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Beauty & Care,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Black Chalkboard Sticker 24x60 Free 5 Chalks,MZ-0127,698,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Home & Living,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Double Bedsheet Set Brown Velvet Jacquard 4 Pcs,MZ-0128,4010,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Home & Living,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Green & Golden Yellow Embroidered 3-Piece Cotton Suit,MZ-0129,2800,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Sapphire Wash & Wear Plain Suit Winter Pakistan,MZ-0130,2060,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Men Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Kids Embroidered Bunch Maxi Set Navy Blue 2Pcs,MZ-0131,1670,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Kids & Toys,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Men Knitted Zip-Up Cardigan Gray Autumn Casual Wear,MZ-0132,3500,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Men Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
3 Pcs Women's Unstitched Plain Suit,MZ-0133,930,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
14th August Azaadi Kids Bundle 7Pcs ABS Green Pakistan Flag,MZ-0134,610,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Kids & Toys,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Girls Georgette Bow Top Maxi Set Green White,MZ-0135,2630,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Kids & Toys,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Men's Comfort Fit Strap Watch,MZ-0136,1580,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Accessories,Cash on Delivery · 3-5 din delivery · 7-day easy returns
14 August 3 Pcs Women's Stitched Fancy Embroidered Suit,MZ-0137,2529,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
